id,name,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,year,rating
0111161,The Shawshank Redemption,31756,3867,4077,5179,10937,21617,72490,223269,492688,1090072,1994,9.3
0068646,The Godfather,34499,5215,5373,6783,13620,23577,63111,159191,326128,701524,1972,9.2
0071562,The Godfather: Part II,18480,3408,3756,4875,10187,19581,55835,140621,263111,406550,1974,9.0
0468569,The Dark Knight,27833,6421,7138,9586,19622,40025,114755,293975,537640,871209,2008,9.0
0050083,12 Angry Men,7314,1271,1392,2033,4765,10479,37115,105890,179325,194551,1957,8.9
0108052,Schindler's List,17539,3877,4031,5125,10944,21482,67961,182025,315840,380217,1993,8.9
0167260,The Lord of the Rings: The Return of the King,27157,5912,7118,9179,18392,37046,98359,225018,364633,603616,2003,8.9
0110912,Pulp Fiction,23164,7898,9003,11788,22204,42292,114095,269357,450310,579720,1994,8.9
0060196,The Good  the Bad and the Ugly,9607,1804,2103,2985,6856,14813,46927,112115,167951,215642,1966,8.9
0137523,Fight Club,15705,6226,7554,10504,20562,43360,123422,302247,482041,556667,1999,8.8
0120737,The Lord of the Rings: The Fellowship of the Ring,25321,6217,7305,9315,19160,39066,111484,264274,389654,542215,2001,8.8
0109830,Forrest Gump,10821,5291,6809,9756,18886,42122,123564,302352,452429,513366,1994,8.8
0080684,Star Wars: Episode V - The Empire Strikes Back,13979,3165,3720,5495,13051,29824,91118,205048,269449,349706,1980,8.8
1375666,Inception,15907,6130,7618,11184,22479,49946,141524,328391,515364,614223,2010,8.8
0167261,The Lord of the Rings: The Two Towers,19576,5299,6029,8111,17548,37614,110109,260151,355930,442617,2002,8.7
0073486,One Flew Over the Cuckoo's Nest,6057,1717,2155,3668,8515,22164,75908,188499,251318,219618,1975,8.7
0099685,Goodfellas,5714,2026,2823,4117,9374,24416,82840,205042,265640,242350,1990,8.7
4154756,Avengers: Infinity War,6323,923,1043,1431,3206,8477,23616,52708,83014,166768,2018,8.8
0133093,The Matrix,14996,5971,7824,10755,21740,47737,136598,307135,421528,431792,1999,8.7
0047478,Seven Samurai,8365,1591,1744,2238,4743,9131,25050,51378,67478,93899,1954,8.7
0317248,City of God,8592,2030,2184,3201,7022,16684,55437,145622,198817,167871,2002,8.6
0076759,Star Wars: Episode IV - A New Hope,15349,3618,4465,6548,15422,36352,109106,232997,283173,348785,1977,8.6
0114369,Se7en,6396,2830,3738,5577,12256,32746,128118,317855,406372,278572,1995,8.6
0102926,The Silence of the Lambs,5099,2313,2881,4592,10745,29707,110995,289776,344762,245635,1991,8.6
0038650,It's a Wonderful Life,5175,1720,2035,2926,6359,13314,35375,68394,81415,112533,1946,8.6
0118799,Life Is Beautiful,6544,2214,2469,3590,7181,15610,44541,107081,154565,164676,1997,8.6
0114814,The Usual Suspects,6064,2100,2695,4408,10226,26415,87511,212106,275850,224851,1995,8.6
0245429,Spirited Away,7590,2228,2456,3751,7563,17289,49741,110773,146287,162281,2001,8.6
0120815,Saving Private Ryan,8146,3523,4547,6811,14487,35612,110366,258162,320077,269370,1998,8.6
0110413,Léon: The Professional,4838,1614,2156,3761,9149,25714,91931,221859,269299,224037,1994,8.6
0120689,The Green Mile,4568,2345,3537,5354,11529,30560,100023,240657,289520,244387,1999,8.5
0816692,Interstellar,11142,4662,6250,9572,19273,44799,115481,222814,318087,425167,2014,8.6
0120586,American History X,5681,2014,2584,4108,9234,26267,97143,250510,295823,203764,1998,8.5
0054215,Psycho,4179,1596,2171,3483,8325,20844,63488,132235,138686,122346,1960,8.5
0064116,Once Upon a Time in the West,4030,1147,1427,2071,4627,10203,29279,60095,68532,72873,1968,8.5
0021749,City Lights,2601,676,799,1166,2434,4913,14738,32276,35011,39613,1931,8.6
0034583,Casablanca,7191,2285,2613,3984,8842,19573,52960,101105,109182,139879,1942,8.5
0027977,Modern Times,3039,679,850,1263,2801,6296,19206,44731,49062,47047,1936,8.5
1675434,The Intouchables,3345,1276,1643,2619,6118,17831,62936,154256,198288,170962,2011,8.5
0253474,The Pianist,5847,1931,2468,3727,7209,17832,61988,160364,191141,139593,2002,8.5
0407887,The Departed,7895,2716,3457,5566,12538,33867,112096,271300,320258,237846,2006,8.5
0103064,Terminator 2,5721,2316,3300,5708,13475,35547,109223,226021,235338,214981,1991,8.5
0082971,Raiders of the Lost Ark,4993,1829,2439,4420,10654,29217,98814,208009,210198,188670,1981,8.5
0088763,Back to the Future,3871,1665,2714,4863,12259,35366,112635,235160,229560,225355,1985,8.5
0047396,Rear Window,3776,1243,1543,2457,5541,14676,47399,101772,104963,88189,1954,8.5
2582802,Whiplash,3022,1463,2074,3312,6826,18744,63911,150192,179456,122117,2014,8.5
0172495,Gladiator,6782,3498,5095,8205,17983,43494,127356,283354,334926,302265,2000,8.5
0110357,The Lion King,4647,1844,2796,4642,11943,30134,91929,193777,197308,228502,1994,8.5
0482571,The Prestige,4820,1828,2543,4806,11188,33095,112467,264877,315976,243103,2006,8.5
0209144,Memento,9520,3607,4640,7387,15263,37718,116348,256876,295374,226494,2000,8.5
0078788,Apocalypse Now,5479,2550,3534,5488,11167,24977,63813,121346,137712,139913,1979,8.5
0078748,Alien,3974,1833,2599,4354,10218,27347,88147,186698,190400,152900,1979,8.5
0032553,The Great Dictator,2651,762,910,1367,2953,6841,19603,42380,45630,43983,1940,8.5
0095765,Cinema Paradiso,2412,884,901,1402,3195,7054,20631,44946,50751,52947,1988,8.5
0043014,Sunset Boulevard,3122,920,1124,1718,3719,8060,21760,42182,41402,43132,1950,8.5
0095327,Grave of the Fireflies,3324,965,1111,1477,3075,6918,19737,40910,46215,52848,1988,8.5
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,6149,2134,2699,4148,8935,18824,47225,87771,99225,116082,1964,8.5
0405094,The Lives of Others,3686,902,1061,1688,3806,9658,34276,85019,97809,64906,2006,8.4
0050825,Paths of Glory,2397,784,787,1065,2474,5784,18644,39942,40001,32973,1957,8.4
0081505,The Shining,5551,2787,4142,6449,13895,33507,94059,192613,203183,164708,1980,8.4
1853728,Django Unchained,8521,3696,4718,7181,15524,41346,132257,310976,358971,246028,2012,8.4
2380307,Coco,1235,295,363,587,1746,5674,19982,44793,48942,51581,2017,8.5
0910970,WALL·E,9910,3522,4766,7093,15212,38079,109499,217021,230198,209855,2008,8.4
0119698,Princess Mononoke,3922,1135,1297,1956,4386,10864,33020,68235,73164,73337,1997,8.4
0169547,American Beauty,11844,4854,6006,9063,18614,43319,121306,245596,260005,219475,1999,8.4
1345836,The Dark Knight Rises,12375,4481,6164,10270,21487,53999,146233,303336,358239,391585,2012,8.4
0051201,Witness for the Prosecution,1393,514,444,650,1542,2998,10480,24765,23588,16666,1957,8.4
